id,class,coordinate,createdAt,description,googlePlaceId,name,updatedAt
681a1c3547c87c2d81432494,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5511694, ""longitude"": 126.98822659999999}",2025-05-06T14:27:01.309Z,N Seoul Tower is one of Seoul's most famous landmarks and one of the city's most beloved attractions. The views from the tower are beautiful but the night views are especially breathtaking.,ChIJqWqOqFeifDURpYJ5LnxX-Fw,N Seoul Tower,2025-05-06T14:27:08.821Z
681a1c3547c87c2d81432495,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5100586, ""longitude"": 127.0601188}",2025-05-06T14:27:01.368Z,"Located in the center of COEX Mall, Starfield Library is an open public space where anyone can freely come to sit down, take a break, and immerse themselves in books.",ChIJu5Gg2hWkfDURl7NN7FpFnis,Starfield Library,2025-05-06T14:27:01.368Z
681a1c3547c87c2d81432496,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.579617, ""longitude"": 126.977041}",2025-05-06T14:27:01.372Z,"A must-see among Seoul's tourist attractions, this ceremony is a great opportunity to experience a rare traditional scene in Korea, as the ceremony is reenacted exactly as it used to be held, with guards wearing royal uniforms, carrying traditional weapons and playing traditional instruments.",ChIJod7tSseifDUR9hXHLFNGMIs,Gyeongbokgung Palace,2025-05-06T14:27:08.934Z
681a1c3547c87c2d81432497,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.572521699999996, ""longitude"": 127.0088319}",2025-05-06T14:27:01.374Z,"The Seoul City Wall was originally built in 1396, surrounding Seoul (then known as  Hanyang) during the Joseon Dynasty (1392-1897).",ChIJGV0PhLajfDURzxTEAf39pvY,Seoul City Wall (Hanyangdoseong Fortress),2025-05-06T14:27:01.374Z
681a1c3547c87c2d81432498,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5126335, ""longitude"": 126.99847829999999}",2025-05-06T14:27:01.377Z,The world’s longest bridge fountain (recognized by the Guinness Book of World Records) with 380 water jets and a dazzling array of multi-colored lights.,ChIJeVnK5X-hfDURv2fEEK-332M,Banpo Bridge Moonlight Rainbow Fountain,2025-05-06T14:27:01.377Z
681a1c3547c87c2d81432499,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5814696, ""longitude"": 126.9849519}",2025-05-06T14:27:01.380Z,"Bukchon Hanok Village reflects 600 years of Seoul’s history. The village is situated between Gyeongbokgung Palace and Changdeokgung Palace, and its streets are lined with traditional hanok.",ChIJT8H4r9qifDURmuXJ_6m6vM0,Bukchon Hanok Village,2025-05-06T14:27:01.380Z
681a1c3547c87c2d8143249a,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5794309, ""longitude"": 126.9910426}",2025-05-06T14:27:01.382Z,"Changdeokgung Palace is also known as Donggwol, the Eastern Palace, because of its location to the east of Gyeongbokgung.",ChIJ4wh0zluifDURaFBW2pdrKf8,Changdeokgung,2025-05-06T14:27:01.382Z
681a1c3547c87c2d8143249b,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.512464099999995, ""longitude"": 127.10254300000001}",2025-05-06T14:27:01.385Z,"Lotte World Tower is one of Korea's architectural crown jewels. The tower symbolizes the meeting of the modern with the traditional, nature and cutting edge technology, and the accomplishments of man.",ChIJW2ZfkQqlfDUR4vz9Xs0Q66s,LOTTE WORLD TOWER,2025-05-06T14:27:01.385Z
681a1c3547c87c2d8143249c,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5198332, ""longitude"": 126.94007239999999}",2025-05-06T14:27:01.387Z,"Rising tall above the Han River in Central Seoul, the 63 Building is both a major urban landmark and a popular multi-complex in Yeouido, home to the new International Finance Center development.",ChIJn_UiGDyffDURWfZBRKwb5YE,63 Building,2025-05-06T14:27:01.894Z
681a1c3547c87c2d8143249d,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.572389, ""longitude"": 126.9769117}",2025-05-06T14:27:01.390Z,"In the center of Seoul, Inwangsan Mountain sits behind Gwanghwamun Square. Gwanghwamun Square has over 600 years of history and the spirit of the Korean nation can be felt here.",ChIJrUQcQuuifDUR-IWAEQylVek,Gwanghwamun Square,2025-05-06T14:27:01.513Z
681a1c3547c87c2d8143249e,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5334912, ""longitude"": 126.9975}",2025-05-06T14:27:01.392Z,The Seoul Central Mosque was established to be a place to worship for Muslims in Korea as well as to educate the larger public about Islam and Islamic cultures.,ChIJz9jnMbWjfDURJAyB1SumwgI,Seoul Central Mosque,2025-05-06T14:27:01.392Z
681a1c3547c87c2d8143249f,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5840138, ""longitude"": 126.97853419999998}",2025-05-06T14:27:01.395Z,"Cheongwadae, also known as the Blue House, is the Korean presidential residence.",ChIJh4v_McaifDURhFwNmyavuxo,Cheongwadae-ro,2025-05-06T14:27:01.395Z
681a1c3547c87c2d814324a0,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.559315, ""longitude"": 126.99447699999997}",2025-05-06T14:27:01.397Z,Namsangol Hanok Village is a collection of five hanok (traditional Korean houses) from the Joseon Dynasty (1392-1910).,ChIJmylq-vyifDUR_r3t4Ve-w3k,Namsangol Hanok Village,2025-05-06T14:27:01.397Z
681a1c3547c87c2d814324a1,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.525781099999996, ""longitude"": 126.93849440000001}",2025-05-06T14:27:01.399Z,One of the best ways to enjoy the Hangang River.,ChIJa5pqAkmffDUREw84Ury10ko,E-Land Cruise,2025-05-06T14:27:01.399Z
681a1c3547c87c2d814324a2,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.578751200000006, ""longitude"": 126.9948775}",2025-05-06T14:27:01.402Z,Changgyeonggung Palace was built in 1483 by King Seongjong (the ninth king of the Joseon Dynasty) to take care of the wives of the preceding kings.,ChIJN9jfPNaifDURz_NR6E1r4Eo,Changgyeonggung Palace,2025-05-06T14:27:01.402Z
681a1c3547c87c2d814324a3,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5746313, ""longitude"": 126.9938158}",2025-05-06T14:27:01.405Z,Jongmyo is a royal shrine dedicated to the performance of ancestral rites for the deceased kings and queens of the Joseon Dynasty.,ChIJz7ocWtiifDURU-HmRwLa3yQ,Jongmyo Shrine,2025-05-06T14:27:01.405Z
681a1c3547c87c2d814324a4,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5366059, ""longitude"": 126.97713969999998}",2025-05-06T14:27:01.408Z,Established to remember the Korean War (6. 25. 1950 - 7. 27.1953) and symbolize the desire for peaceful reunification of Korea.,ChIJ8cRRtD-ifDURoBcqFZyRluE,War Memorial of Korea,2025-05-06T14:27:01.408Z
681a1c3547c87c2d814324a5,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.514852, ""longitude"": 127.0573766}",2025-05-06T14:27:01.410Z,Bongeunsa is a Buddhist temple founded in 794 during the Silla (one of the Three Kingdoms of Korea) period.,ChIJgZn6QWmkfDURaU3kwlecaEU,Bongeunsa Temple,2025-05-06T14:27:01.410Z
681a1c3547c87c2d814324a6,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.565804899999996, ""longitude"": 126.97514609999998}",2025-05-06T14:27:01.413Z,"The Changing of the Royal Guard is a re-enactment of the ceremony from the Joseon Dynasty (1392-1910) for changing the guards that protected and patrolled the royal palaces, and were in charge of the opening and closing of the gates to the palaces.",ChIJMcWZMY2ifDUR2NLv8F3Togc,Deoksugung Palace,2025-05-06T14:27:10.499Z
681a1c3547c87c2d814324a7,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5735144, ""longitude"": 126.9848505}",2025-05-06T14:27:01.416Z,Museum Kimchikan is the place to go to learn about the many varieties of kimchi in the world. See real examples of different kimchi varieties and take part in fun activities!,ChIJmRrEV2qkfDURuWiyxriz8gs,Museum Kimchikan,2025-05-06T14:27:01.416Z
681a1c3547c87c2d814324a8,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.523850599999996, ""longitude"": 126.98047020000001}",2025-05-06T14:27:01.419Z,"Ranked as the sixth largest museum in the world, Korea's largest museum, and welcomes nearly 3.5 million people each year, while also being equipped with the latest state-of-the-art technology to make each visitor's experience all the more memorable and worthwhile.",ChIJN2x0fu2ifDUR51BupseGYmE,National Museum of Korea,2025-05-06T14:27:01.419Z
681a1c3547c87c2d814324a9,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5738369, ""longitude"": 126.982202}",2025-05-06T14:27:01.421Z,Jogyesa Temple is one of Korea's major Buddhist temples in central Seoul.,ChIJHYhJ5OmifDURMOSQ2D-6lFY,Jogyesa Temple,2025-05-06T14:27:01.421Z
681a1c3547c87c2d814324aa,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5378932, ""longitude"": 126.99939369999998}",2025-05-06T14:27:01.423Z,Leeum Museum of Art is the perfect place to enjoy traditional and contemporary art created by Korean and international artists.,ChIJU97c4xujfDURu6F4mICL7Ps,Leeum Museum of Art,2025-05-06T14:27:01.423Z
681a1c3547c87c2d814324ab,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5653249, ""longitude"": 126.98495379999999}",2025-05-06T14:27:01.425Z,The Myeong-dong Tourist Information Center is a sprawling information center that serves to assist foreign and domestic tourists to Seoul.,ChIJle3Rv--ifDUR2NKw_RGxUMU,Myeongdong Tourist Information Center (MDTIC),2025-05-06T14:27:01.425Z
681a1c3547c87c2d814324ac,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.577744599999996, ""longitude"": 126.89215650000001}",2025-05-06T14:27:01.428Z,"Digital Media City is located in Sangam-dong and was purpose-built to house Korea's media, entertainment, and the IT industries with the aim of becoming the new epicenter for Hallyu content and production.",ChIJEwDN3xKZfDURtG3ZRrBpuDQ,Digital Media City (DMC),2025-05-06T14:27:01.428Z
681a1c3547c87c2d814324ad,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5640625, ""longitude"": 126.9738125}",2025-05-06T14:27:01.430Z,"A leading public art museum in Seoul, offering a variety of exhibitions and cultural programs centered around contemporary art.",ChIJ7flynb6jfDURr_2yp5gZwmQ,SeMA - Seoul Museum of Art,2025-05-06T14:27:01.430Z
681a1c3547c87c2d814324ae,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5257613, ""longitude"": 127.0403736}",2025-05-06T14:27:01.434Z,The Figure Museum W is a museum dedicated to figurines and toys!,ChIJ65TfBXikfDUR8njkp_j4f-I,Figure Museum W,2025-05-06T14:27:01.434Z
681a1c3547c87c2d814324af,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.579734099999996, ""longitude"": 126.9693256}",2025-05-06T14:27:01.437Z,"The Daeo Bookstore is the oldest bookstore in Seoul. Located in the picturesque Seochon Village neighborhood, the store is only a few minutes walk from Gyeongbokgung Station.",ChIJ69DJ7r2ifDUR6KOZSBr9Iq4,Dae-o Bookstore,2025-05-06T14:27:01.437Z
681a1c3547c87c2d814324b0,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.566584399999996, ""longitude"": 126.9898477}",2025-05-06T14:27:01.440Z,A store run by a shoemaker who produces the most comfortable handcrafted shoes,ChIJ5_ttJuSifDURs15sE0mJ_O4,Songlim Shoes,2025-05-06T14:27:01.440Z
681a1c3547c87c2d814324b1,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5318046, ""longitude"": 126.9141547}",2025-05-06T14:27:01.443Z,The National Assembly Building houses Korea's legislative branch of government and it is located in Yeouido.,ChIJs7jDjSaffDURrcJxsBbkMUk,National Assembly Building,2025-05-06T14:27:01.443Z
681a1c3547c87c2d814324b2,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5633851, ""longitude"": 126.987436}",2025-05-06T14:27:01.446Z,1898 Myeongdong Cathedral is a complex cultural space frequented by many people and was built as a place that would facilitate communication and sharing.,ChIJs2hQTOWifDURk8inZqIttEQ,Myeongdong Cathedral,2025-05-06T14:27:02.994Z
681a1c3547c87c2d814324b3,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.507401099999996, ""longitude"": 127.05199619999999}",2025-05-06T14:27:01.449Z,"Seonjeongneung is home to the royal tombs of King Seongjong (the 9th king of the Joseon Dynasty) and his family, including his second wife, Queen Consort Jeonghyeon, and his son, later to be king, King Jungjong.",ChIJ90LQ63ilfDURHhNpoDq3rPI,Seolleung and Jeongneung Royal Tombs,2025-05-06T14:27:01.449Z
