id,class,coordinate,createdAt,description,googlePlaceId,name,updatedAt
681a1c3947c87c2d81432a65,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.563280299999995, ""longitude"": 126.9946162}",2025-05-06T14:27:05.725Z,Daedong is a Seoul branch of a famous Peking duck restaurant in Beijing. Enjoy authentic Peking duck prepared by Chinese chefs.,ChIJA0mITeKifDURr9ndBuzrItw,Daedong,2025-05-06T14:27:05.725Z
681a1c3947c87c2d81432a66,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.372237, ""longitude"": 126.94348950000001}",2025-05-06T14:27:05.727Z,"Geumjeong is a Chinese-owned restaurant with a long, proud history.",ChIJGUENNVtnezURBacdICenmyU,Geumjeong Station,2025-05-06T14:27:05.727Z
681a1c3947c87c2d81432a67,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5650282, ""longitude"": 126.98417309999999}",2025-05-06T14:27:05.738Z,"You can enjoy jabeohoe (sashimi made with various small fish) and sekkosi (shredded raw fish). Customers mostly order the assorted platter, or sekkosi, which in this restaurant is a platter of shredded flatfish, flounder, and sole. With every order of sashimi, they serve a refreshing and delicious seaweed soup with fish. They offer an assortment of fishes, such as spot belly rockfish, yellowtail amberjack, black rockfish, black sea bream, gizzard shad fish, sea bream, and horn fish, depending on seasonal availability.",ChIJxdJisyqjfDURp3C84xSRLCw,Jogabi Seafood Bar,2025-05-06T14:27:05.738Z
681a1c3947c87c2d81432a68,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.564314599999996, ""longitude"": 126.9856446}",2025-05-06T14:27:05.740Z,RoyaD is a homemade dessert shop which uses traditional Korean ingredients to make fusion desserts.,ChIJRa2LTQCjfDUR1RsHVIEvs8k,Royal Hotel Seoul Club Sky Lounge,2025-05-06T14:27:05.740Z
681a1c3947c87c2d81432a69,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.519303, ""longitude"": 126.93148979999998}",2025-05-06T14:27:05.745Z,"Basak’s deep-fried course menu includes fried fish, shrimp, sesame leaf, sweet potato and more, all of which is accompanied by a fresh salad and rice with fish roe. The atmosphere is friendly and warm.",ChIJP0uF6D-ffDURCmUUCaKgzcY,Basak,2025-05-06T14:27:05.745Z
681a1c3947c87c2d81432a6a,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5622697, ""longitude"": 126.9253751}",2025-05-06T14:27:05.747Z,A cozy cafe in Sangam-dong,ChIJOY6Y2-eYfDURIzI20CDIMQI,their coffee,2025-05-06T14:27:05.747Z
681a1c3947c87c2d81432a6b,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5293601, ""longitude"": 126.89349430000001}",2025-05-06T14:27:05.751Z,Bakery cafe with a wait line,ChIJVyf8luuefDURcCJwPjDK2fY,Kokkili Bagel Yeongdeungpo,2025-05-06T14:27:05.751Z
681a1c3947c87c2d81432a6c,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.577821500000006, ""longitude"": 126.97113639999999}",2025-05-06T14:27:05.754Z,"Located in Bukchon near Gyeongbokgung Palace, Couscous's main menu includes Couscous Set, Tunisian Set. It is situated approximately 262m away from Exit 2 of Gyeongbokgung Palace Station, Line 3.",ChIJ0dE-8ZWifDURCtLcZifouG0,Couscous,2025-05-06T14:27:06.567Z
681a1c3947c87c2d81432a6d,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.559236999999996, ""longitude"": 126.92437149999999}",2025-05-06T14:27:05.757Z,"The main menu at IFTAR, located at Hongik University Station, is the Bulgogi. It is situated 198 meters away from Exit 3 of Hongik University Station.",ChIJ_-AyWo-ZfDURmZa8y9GrU7I,IFTAR,2025-05-06T14:27:05.757Z
681a1c3947c87c2d81432a6e,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5539936, ""longitude"": 126.92461929999997}",2025-05-06T14:27:05.762Z,"At Itsumo you can enjoy a variety of Japanese side dishes, such as tofu tempura and octopus salad seasoned with vinegar, both of which go nicely with seafood and veggies.",ChIJle-nYGSZfDURFcX1R4TAvaM,이츠모라멘(itsumo),2025-05-06T14:27:05.762Z
681a1c3947c87c2d81432a6f,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5764175, ""longitude"": 126.9715069}",2025-05-06T14:27:05.765Z,Fresh grilled pork located in the Sejong Village Food and Culture Street,ChIJFQrgx5WifDUROkxUXvybRJg,Seochon Gyedanjip,2025-05-06T14:27:05.765Z
681a1c3947c87c2d81432a70,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5527477, ""longitude"": 126.65023939999998}",2025-05-06T14:27:05.769Z,"Seogung is famous for gunmandu (fried Korean dumplings). Here the gunmandu is stuffed with beef rather than pork, and there is a wonderful hint of ginger. A good variety of Chinese cuisine is also on the menu.",ChIJtQA5SsF_ezURGKVFXG6rEh0,Seo-gu,2025-05-06T14:27:05.769Z
681a1c3947c87c2d81432a71,gdgoc.konkuk.sweetsan.seoulmateserver.model.Place,"{""latitude"": 37.5324418, ""longitude"": 127.00564440000001}",2025-05-06T14:27:05.772Z,Hanujib Wi built its reputation by using only premium-quality Korean beef. The special lunch set menu is popular because they serve a nicely-balanced.,ChIJYyBlZBKjfDUR9uDqqJMrItc,Hannaembi,2025-05-06T14:27:05.772Z
